Serial,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Label
1,0.8298271876350886,0.9972887378823818,0.08219523542029816,0.8628235841552777,0.03565213032421277,0.2671734290300005,0.23320730597314554,0.01787704431610826,0.47946894708614096,0.88640318122789,0.24228817021192406,0.38604594064726294,0.63205787341314,0.0879172734710093,2.995245416895856
2,0.12407334145302185,0.7845840880626777,0.7710347593739375,0.039286529489096944,0.8971788679403594,0.7049530145852076,0.3092813895871884,0.06214777369313662,0.0869422412078048,0.7017872442524715,0.4701028729743426,0.6138126295380023,0.247024907901771,0.6257136054322362,2.9295541566382814
3,0.17932931936119767,0.8831252423550973,0.49771520923123846,0.47799802997478613,0.10098379566055027,0.9001552635496507,0.646401546135797,0.06503404732671847,0.11017609895524738,0.8115736778164976,0.48303358672486607,0.9243785026173217,0.4720360462801738,0.7495445102058739,3.0217103585822738
4,0.2309091576358122,0.40263547067580874,0.17966024885107046,0.9195841632860887,0.24364521716861243,0.05964667182915018,0.5301824408816894,0.29926846915839567,0.6249229125522137,0.49630790863429675,0.4726272097216969,0.15860290354011775,0.6007354286582337,0.1256381789963552,2.6509275074038956
5,0.41817503353786967,0.38566276369768504,0.06629226468056648,0.5824129203776417,0.836108574045274,0.743626234321308,0.33360756036347106,0.11772761998748427,0.13950244691264324,0.6531994340024987,0.19587671356652625,0.4046881960891092,0.27297022268536586,0.6939394396837657,2.19607670368982
6,0.13310407000908964,0.6614634334084473,0.38615260044232647,0.7342439331196805,0.5494545837602804,0.12606867721944115,0.7503183278669745,0.9514052439342882,0.27005068607058336,0.6682689565125933,0.7031397717345994,0.38958883408079537,0.1148731775502344,0.24795624544656925,3.1733332060374195
7,0.7619312101054647,0.3471134862271704,0.3690379688006107,0.49214761980030897,0.5302215012836576,0.356326548021889,0.12852766354915046,0.2422850281190806,0.2933049474882007,0.18438388241458958,0.3350849608984068,0.2892194808972902,0.2611875279643099,0.08327769735660173,2.2432307488674774
8,0.6259803300411406,0.25282812514771125,0.008550520293729047,0.33203335003680556,0.2013460735644942,0.777957753227397,0.5779538732378718,0.18270653665505476,0.42034908954375805,0.8586085569479507,0.29998905039875245,0.3973762387874218,0.060600887766091516,0.18383591893161189,2.1826461656991683
9,0.22553999855444262,0.1727895097104144,0.4689256107102747,0.644227659709465,0.5301780916971467,0.8620114426565452,0.4004961684409083,0.4020432175468057,0.6997171714599597,0.32721255093761925,0.9958315313186417,0.13726238956909498,0.9368014985184544,0.41408080452959206,3.779989271653681
10,0.21838385986150355,0.9041575588705913,0.7680682967656238,0.4338592884550617,0.4512128514439675,0.6050098571047101,0.5022418775032598,0.9343847483302461,0.3120878169133713,0.8581635208582541,0.9175127346773738,0.8231945792676306,0.0951634847409718,0.12431208305847896,4.191578201253093
11,0.3398826950571109,0.3958152098866392,0.5034819524466349,0.10606372523182694,0.5894120205313995,0.3166975858665608,0.033830133110842264,0.2584104522741907,0.2855376483864216,0.811930422380998,0.3033542668314372,0.9778492019720569,0.11611437700458405,0.4165190647562771,2.1261944478112977
12,0.5658090415566899,0.4316992793986606,0.9651356536512499,0.0510897846271019,0.6126572736251513,0.2047533112083756,0.5305290309913588,0.3059252226808511,0.6884408845023001,0.1293155617132118,0.4752218787694419,0.6545287788857452,0.19655543868568326,0.8458549889628548,2.7124786321271106
13,0.34547520843305957,0.01567682943242321,0.09778834570137951,0.5800448489661502,0.46713552407040404,0.6314228904986363,0.43974889719605137,0.6414800698560794,0.33498979506972426,0.3113616050265997,0.6004073869016496,0.6328577038396823,0.5926959792228238,0.6125319617208963,3.029478111065776
